,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
0,1,0,good,0,quickshift,blend_2,100,100,False,30000,5000,3,0.2976433502655619,lm_p_maxloss,19.567534180924927,0.9950259363280867,1.7148456835227708,1.6705393,1.6705392071470657,1.6705393,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004096731582346062,0.36917284,19.50085,0.0,0.0,0.0,0.0,0.0
1,2,0,good,0,quickshift,blend_3,100,100,False,30000,5000,3,0.29550726492136076,lm_p_maxloss,19.55492314878863,0.9950192793103808,1.6981150798720341,1.3615971,1.361597034536994,1.3615971,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004096731582346062,0.36917284,19.50085,0.0,0.0,0.0,0.0,0.0
2,3,0,good,1,quickshift,blend_2,100,100,False,30000,5000,3,0.4778235637887515,lm_p_maxloss,24.564488173773736,0.9962132044194012,2.0643271748378806,2.890568,2.890568030571169,2.890568,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005056803299036498,0.28849027,24.587036,0.0,0.0,0.0,0.0,0.0
3,4,0,good,1,quickshift,blend_3,100,100,False,30000,5000,3,0.511181988510071,lm_p_maxloss,24.55238672687836,0.9966887180729335,2.2059027761522834,3.2237558,3.223755881357282,3.2237558,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005056803299036498,0.28849027,24.587036,0.0,0.0,0.0,0.0,0.0
4,5,0,good,2,quickshift,blend_2,100,100,False,30000,5000,3,0.2829785161037938,lm_p_maxloss,20.069483951861713,0.9956458795315468,1.6173363771784248,1.5675133,1.5675133805707617,1.5675133,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0030042478513981528,0.2816726,20.102152,0.0,0.0,0.0,0.0,0.0
5,6,0,good,2,quickshift,blend_3,100,100,False,30000,5000,3,0.3021107872563663,lm_p_maxloss,20.061006813021855,0.9950298774038174,1.731002021826619,1.6867845,1.6867844480689798,1.6867845,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0030042478513981528,0.2816726,20.102152,0.0,0.0,0.0,0.0,0.0
6,7,0,good,3,quickshift,blend_2,100,100,False,30000,5000,3,0.42884170744862593,lm_p_maxloss,27.243429981046624,0.9803438952094996,1.7556732111191904,2.6327524,2.6327523132317645,2.6327524,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005661250247309606,0.29258174,27.576553,0.0,0.0,0.0,0.0,0.0
7,8,0,good,3,quickshift,blend_3,100,100,False,30000,5000,3,0.5167867016753236,lm_p_maxloss,27.350225749271853,0.986057711272107,2.107994488627634,2.989371,2.9893709836091693,2.989371,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005661250247309606,0.29258174,27.576553,0.0,0.0,0.0,0.0,0.0
8,9,0,good,4,quickshift,blend_2,100,100,False,30000,5000,3,0.3799624221926434,lm_p_maxloss,27.40643135284946,0.9914271089038427,1.6763120419513293,2.6319885,2.631988494981522,2.6319885,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0074047989619430155,0.3135944,27.23207,0.0,0.0,0.0,0.0,0.0
9,10,0,good,4,quickshift,blend_3,100,100,False,30000,5000,3,0.4387501582965794,lm_p_maxloss,27.360223069762466,0.9921085358386172,1.9478194524646224,3.189136,3.1891361187598632,3.189136,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0074047989619430155,0.3135944,27.23207,0.0,0.0,0.0,0.0,0.0
10,11,0,good,5,quickshift,blend_2,100,100,False,30000,5000,3,0.3674295974501793,lm_p_maxloss,28.50457583574317,0.9860467645779235,1.6212921039852337,1.8003594,1.8003593237807551,1.8003594,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004718169181918104,0.3596251,28.338972,0.0,0.0,0.0,0.0,0.0
11,12,0,good,5,quickshift,blend_3,100,100,False,30000,5000,3,0.3590437848145941,lm_p_maxloss,28.579130668345535,0.9861745137506026,1.5846829314844606,1.5538925,1.5538925280036666,1.5538925,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004718169181918104,0.3596251,28.338972,0.0,0.0,0.0,0.0,0.0
12,13,0,good,6,quickshift,blend_2,100,100,False,30000,5000,3,0.3352957126569554,lm_p_maxloss,25.74890036790314,0.9898358445728537,1.4263317081872329,1.9484613,1.948461315481241,1.9484613,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0033334057588945143,0.2642216,25.280617,0.0,0.0,0.0,0.0,0.0
13,14,0,good,6,quickshift,blend_3,100,100,False,30000,5000,3,0.32496308978211885,lm_p_maxloss,25.7224092253811,0.9902107599311235,1.3869091484893512,1.3110275,1.3110275290735187,1.3110275,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0033334057588945143,0.2642216,25.280617,0.0,0.0,0.0,0.0,0.0
14,15,0,good,7,quickshift,blend_2,100,100,False,30000,5000,3,0.3182386700807083,lm_p_maxloss,17.19549718679558,0.9928821372818781,2.367471341895835,2.1777549,2.177754769363598,2.1777549,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003910679884332542,0.29597923,17.639444,0.0,0.0,0.0,0.0,0.0
15,16,0,good,7,quickshift,blend_3,100,100,False,30000,5000,3,0.30935575042350577,lm_p_maxloss,17.264234023514963,0.9913094638435652,2.270376307327892,1.9154795,1.9154795658388803,1.9154795,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003910679884332542,0.29597923,17.639444,0.0,0.0,0.0,0.0,0.0
16,17,0,good,8,quickshift,blend_2,100,100,False,30000,5000,3,0.4136566149230951,lm_p_maxloss,27.857437167675723,0.9950755726090894,1.6268246901221224,2.0442536,2.044253691212331,2.0442536,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0032921188685577363,0.33242,28.405447,0.0,0.0,0.0,0.0,0.0
17,18,0,good,8,quickshift,blend_3,100,100,False,30000,5000,3,0.41143717382146705,lm_p_maxloss,27.906181053354388,0.9940220901921888,1.6135890079282251,1.9900832,1.990083231056352,1.9900832,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0032921188685577363,0.33242,28.405447,0.0,0.0,0.0,0.0,0.0
18,19,0,good,9,quickshift,blend_2,100,100,False,30000,5000,3,0.39669417037465543,lm_p_maxloss,23.625829561472017,0.9979015466630142,1.7804613464685122,2.1456878,2.145687728716283,2.1456878,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003704758819367271,0.31307763,23.627554,0.0,0.0,0.0,0.0,0.0
19,20,0,good,9,quickshift,blend_3,100,100,False,30000,5000,3,0.4315953606457505,lm_p_maxloss,23.620068944557783,0.9985096851923959,1.9410999345744473,2.542091,2.5420908835097045,2.542091,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003704758819367271,0.31307763,23.627554,0.0,0.0,0.0,0.0,0.0
20,21,0,good,10,quickshift,blend_2,100,100,False,30000,5000,3,0.2529305373979495,lm_p_maxloss,17.168406998769875,0.9940251144586019,1.7549559084763964,1.3628138,1.3628138512304626,1.3628138,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0017454331245971844,0.2671088,17.213678,0.0,0.0,0.0,0.0,0.0
21,22,0,good,10,quickshift,blend_3,100,100,False,30000,5000,3,0.26116499617883415,lm_p_maxloss,17.129627232255586,0.9946108828001784,1.816372417336765,1.3660787,1.3660787279380737,1.3660787,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0017454331245971844,0.2671088,17.213678,0.0,0.0,0.0,0.0,0.0
22,23,0,good,11,quickshift,blend_2,100,100,False,30000,5000,3,0.551610452871378,lm_p_maxloss,30.204246546144944,0.9919335845404675,2.1645201106482137,4.4965267,4.4965265774406005,4.4965267,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.011217810679227114,0.472783,30.336376,0.0,0.0,0.0,0.0,0.0
23,24,0,good,11,quickshift,blend_3,100,100,False,30000,5000,3,0.4915303704346345,lm_p_maxloss,30.31603789590024,0.9911300291551152,1.9183127136812903,3.6311007,3.6311005477912697,3.6311007,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.011217810679227114,0.472783,30.336376,0.0,0.0,0.0,0.0,0.0
24,25,0,good,12,quickshift,blend_2,100,100,False,30000,5000,3,0.4230625727537871,lm_p_maxloss,28.446296005159084,0.9957269984793811,1.625270128113879,2.593606,2.5936059568067784,2.593606,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005500164159457199,0.42348394,28.31886,0.0,0.0,0.0,0.0,0.0
25,26,0,good,12,quickshift,blend_3,100,100,False,30000,5000,3,0.515126279664724,lm_p_maxloss,28.3857986747744,0.9960402484296637,1.9907706292813845,3.3810887,3.381088617031681,3.3810887,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005500164159457199,0.42348394,28.31886,0.0,0.0,0.0,0.0,0.0
26,27,0,good,13,quickshift,blend_2,100,100,False,30000,5000,3,0.28986507229593195,lm_p_maxloss,20.707213829749627,0.9865455156171318,1.740636220140561,1.4993297,1.499329648741129,1.4993297,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0032763214355024197,0.26279297,21.145401,0.0,0.0,0.0,0.0,0.0
27,28,0,good,13,quickshift,blend_3,100,100,False,30000,5000,3,0.28260782841844845,lm_p_maxloss,20.760914565557464,0.9845102356869548,1.6885128330353765,1.2013887,1.2013887529486786,1.2013887,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0032763214355024197,0.26279297,21.145401,0.0,0.0,0.0,0.0,0.0
28,29,0,good,14,quickshift,blend_2,100,100,False,30000,5000,3,0.3181727973787933,lm_p_maxloss,23.221880190658062,0.9923183954102667,1.5185442314782562,1.8430648,1.8430647507743083,1.8430648,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003036369671463035,0.3045383,23.094412,0.0,0.0,0.0,0.0,0.0
29,30,0,good,14,quickshift,blend_3,100,100,False,30000,5000,3,0.35347257151453026,lm_p_maxloss,23.11505046082371,0.9927507123330974,1.6980533415230512,2.086238,2.086237893730751,2.086238,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003036369671463035,0.3045383,23.094412,0.0,0.0,0.0,0.0,0.0
30,31,0,good,15,quickshift,blend_2,100,100,False,30000,5000,3,0.19703156085298773,lm_p_maxloss,14.666621704399695,0.993986977659066,1.4642861681121702,0.86162776,0.8616277385674292,0.86162776,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0019307052934891544,0.19087577,14.69088,0.0,0.0,0.0,0.0,0.0
31,32,0,good,15,quickshift,blend_3,100,100,False,30000,5000,3,0.2049158982721762,lm_p_maxloss,14.649734152491064,0.995656232593564,1.5276109445125001,0.83818233,0.8381823358975516,0.83818233,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0019307052934891544,0.19087577,14.69088,0.0,0.0,0.0,0.0,0.0
32,33,0,good,16,quickshift,blend_2,100,100,False,30000,5000,3,0.4199912233129357,lm_p_maxloss,22.525516536156537,0.997263240354231,2.049771357530656,3.1988504,3.198850357706024,3.1988504,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00285787361402375,0.32631275,22.86217,0.0,0.0,0.0,0.0,0.0
33,34,0,good,16,quickshift,blend_3,100,100,False,30000,5000,3,0.4478555430337966,lm_p_maxloss,22.502030488123854,0.997384825067861,2.19535618751902,3.3495944,3.349594429930527,3.3495944,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00285787361402375,0.32631275,22.86217,0.0,0.0,0.0,0.0,0.0
34,35,0,good,17,quickshift,blend_2,100,100,False,30000,5000,3,0.3503086381810918,lm_p_maxloss,25.652264592457364,0.9912529615236515,1.8434978719684678,2.0913112,2.091311279322369,2.0913112,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00410901807481423,0.28956485,25.154125,0.0,0.0,0.0,0.0,0.0
35,36,0,good,17,quickshift,blend_3,100,100,False,30000,5000,3,0.33041810229359664,lm_p_maxloss,25.58808610811234,0.9907828438418784,1.7484410557593153,1.8329954,1.8329954548726843,1.8329954,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00410901807481423,0.28956485,25.154125,0.0,0.0,0.0,0.0,0.0
36,37,0,good,18,quickshift,blend_2,100,100,False,30000,5000,3,0.3463956562000221,lm_p_maxloss,23.173973675183284,0.9947305361830298,1.8905350392183353,1.870396,1.8703959816961095,1.870396,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.010731555773721388,0.41972792,22.966045,0.0,0.0,0.0,0.0,0.0
37,38,0,good,18,quickshift,blend_3,100,100,False,30000,5000,3,0.35609047753724443,lm_p_maxloss,23.08659288965017,0.9944328587156901,1.9548651872547853,1.8533896,1.8533896484543706,1.8533896,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.010731555773721388,0.41972792,22.966045,0.0,0.0,0.0,0.0,0.0
38,39,0,good,19,quickshift,blend_2,100,100,False,30000,5000,3,0.6417033784268833,lm_p_maxloss,39.13214589482808,0.9979267534309183,1.7764979773663492,3.9521716,3.9521714527937637,3.9521716,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.007887761845874289,0.41310415,38.934326,0.0,0.0,0.0,0.0,0.0
39,40,0,good,19,quickshift,blend_3,100,100,False,30000,5000,3,0.6697526038003816,lm_p_maxloss,39.20576363699047,0.9982560546301134,1.8483467464486178,5.0246363,5.024636369351477,5.0246363,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.007887761845874289,0.41310415,38.934326,0.0,0.0,0.0,0.0,0.0
40,41,0,good,20,quickshift,blend_2,100,100,False,30000,5000,3,0.48730497413418666,lm_p_maxloss,32.65301723441782,0.9925802405285697,1.7311112072614558,2.452718,2.4527181083854432,2.452718,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.006813885343338673,0.42875084,32.96305,0.0,0.0,0.0,0.0,0.0
41,42,0,good,20,quickshift,blend_3,100,100,False,30000,5000,3,0.6668601601763202,lm_p_maxloss,32.56803163392389,0.9964803507339489,2.375333145385898,5.755964,5.755963877059686,5.755964,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.006813885343338673,0.42875084,32.96305,0.0,0.0,0.0,0.0,0.0
42,43,0,good,21,quickshift,blend_2,100,100,False,30000,5000,3,0.46109478216179345,lm_p_maxloss,26.351737685939174,0.9965426972301804,1.8584902296516563,2.6988826,2.6988826768292635,2.6988826,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.010312002610589843,0.45819414,26.257362,0.0,0.0,0.0,0.0,0.0
43,44,0,good,21,quickshift,blend_3,100,100,False,30000,5000,3,0.4371376378066969,lm_p_maxloss,26.3094140962637,0.9955127175950702,1.7675316020342555,2.3549514,2.354951467071997,2.3549514,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.010312002610589843,0.45819414,26.257362,0.0,0.0,0.0,0.0,0.0
44,45,0,good,22,quickshift,blend_2,100,100,False,30000,5000,3,0.22042667605792715,lm_p_maxloss,17.37236878529302,0.9820678716796762,1.6668068541359637,0.92760724,0.9276072092872379,0.92760724,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020272126324319593,0.26588535,17.838707,0.0,0.0,0.0,0.0,0.0
45,46,0,good,22,quickshift,blend_3,100,100,False,30000,5000,3,0.2001573583886804,lm_p_maxloss,17.3930695491795,0.9818145759442964,1.5058649299561293,0.87093806,0.8709380703911281,0.87093806,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020272126324319593,0.26588535,17.838707,0.0,0.0,0.0,0.0,0.0
46,47,0,good,23,quickshift,blend_2,100,100,False,30000,5000,3,0.2622653382803823,lm_p_maxloss,18.77303061657443,0.9964722247532327,1.532338743030599,1.216622,1.2166220311899996,1.216622,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0018622585654763195,0.27662942,18.549835,0.0,0.0,0.0,0.0,0.0
47,48,0,good,23,quickshift,blend_3,100,100,False,30000,5000,3,0.2705635357217214,lm_p_maxloss,18.77152786628698,0.9966352765370914,1.5790676226473843,1.2704,1.2704000368377626,1.2704,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0018622585654763195,0.27662942,18.549835,0.0,0.0,0.0,0.0,0.0
48,49,0,good,24,quickshift,blend_2,100,100,False,30000,5000,3,0.20955385057307388,lm_p_maxloss,19.90295835579912,0.9784609136086733,1.3799470954258524,1.0905443,1.0905443431040376,1.0905443,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00198455019077907,0.207123,19.996073,0.0,0.0,0.0,0.0,0.0
49,50,0,good,24,quickshift,blend_3,100,100,False,30000,5000,3,0.22235143596627083,lm_p_maxloss,20.02425144329535,0.9815903825910581,1.4435011950411818,1.0271808,1.027180832102075,1.0271808,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.00198455019077907,0.207123,19.996073,0.0,0.0,0.0,0.0,0.0
50,51,0,good,25,quickshift,blend_2,100,100,False,30000,5000,3,0.3292195872149303,lm_p_maxloss,27.02333622214729,0.9879596129272988,1.3631183914079283,1.2746395,1.2746395020831602,1.2746395,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002045492326336292,0.25657052,26.863195,0.0,0.0,0.0,0.0,0.0
51,52,0,good,25,quickshift,blend_3,100,100,False,30000,5000,3,0.3353430550207749,lm_p_maxloss,27.002963087444705,0.9894314614556428,1.3882048210368685,1.3017783,1.3017783627788988,1.3017783,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002045492326336292,0.25657052,26.863195,0.0,0.0,0.0,0.0,0.0
52,53,0,good,26,quickshift,blend_2,100,100,False,30000,5000,3,0.3958817470461739,lm_p_maxloss,24.119157765755318,0.99564505562082,1.732959007965495,2.2479913,2.247991375656352,2.2479913,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005819046969312088,0.33209175,24.142437,0.0,0.0,0.0,0.0,0.0
53,54,0,good,26,quickshift,blend_3,100,100,False,30000,5000,3,0.44804397071476876,lm_p_maxloss,24.079325583697713,0.9973300307496518,1.9660090440861735,2.600254,2.6002541373247587,2.600254,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005819046969312088,0.33209175,24.142437,0.0,0.0,0.0,0.0,0.0
54,55,0,good,27,quickshift,blend_2,100,100,False,30000,5000,3,0.4817831068609758,lm_p_maxloss,28.39817382577646,0.9955234481699425,1.9623055964340577,2.9139662,2.913966186216306,2.9139662,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003791348004597239,0.28657088,28.444721,0.0,0.0,0.0,0.0,0.0
55,56,0,good,27,quickshift,blend_3,100,100,False,30000,5000,3,0.4843165862660842,lm_p_maxloss,28.428761863413953,0.9947254212930721,1.9698381744853173,2.620597,2.620596828931419,2.620597,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003791348004597239,0.28657088,28.444721,0.0,0.0,0.0,0.0,0.0
56,57,0,good,28,quickshift,blend_2,100,100,False,30000,5000,3,0.35232840266276283,lm_p_maxloss,21.274023846794858,0.9939987346431912,1.7550422146321878,2.0990303,2.0990301883432867,2.0990303,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004103598301298916,0.31564415,21.298416,0.0,0.0,0.0,0.0,0.0
57,58,0,good,28,quickshift,blend_3,100,100,False,30000,5000,3,0.3056346202059789,lm_p_maxloss,21.28726262278413,0.9924558430416631,1.5243547208523816,1.5185494,1.518549438224258,1.5185494,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004103598301298916,0.31564415,21.298416,0.0,0.0,0.0,0.0,0.0
58,59,0,good,29,quickshift,blend_2,100,100,False,30000,5000,3,0.28322459278863404,lm_p_maxloss,18.6059882147659,0.9904233358030973,1.7670399635561658,1.6954802,1.6954801701827154,1.6954802,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0038954942137934268,0.392185,18.472504,0.0,0.0,0.0,0.0,0.0
59,60,0,good,29,quickshift,blend_3,100,100,False,30000,5000,3,0.34891040642690735,lm_p_maxloss,18.618595344565115,0.9939319837309162,2.1694141204608384,2.8777275,2.877727531463735,2.8777275,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0038954942137934268,0.392185,18.472504,0.0,0.0,0.0,0.0,0.0
60,61,0,good,30,quickshift,blend_2,100,100,False,30000,5000,3,0.19723077825895732,lm_p_maxloss,17.650722311113633,0.9665491856651905,1.413556779921115,1.021889,1.0218890198980795,1.021889,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003600527095841244,0.2470124,18.45381,0.0,0.0,0.0,0.0,0.0
61,62,0,good,30,quickshift,blend_3,100,100,False,30000,5000,3,0.2654874669261723,lm_p_maxloss,17.686757205283097,0.9713945377120663,1.9142596141178867,1.637131,1.6371309677423693,1.637131,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003600527095841244,0.2470124,18.45381,0.0,0.0,0.0,0.0,0.0
62,63,0,good,31,quickshift,blend_2,100,100,False,30000,5000,3,0.3796800273015249,lm_p_maxloss,22.69933299403546,0.9892131942039201,2.205270714069351,3.0085545,3.0085544070102355,3.0085545,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005344130680896342,0.27571392,22.913536,0.0,0.0,0.0,0.0,0.0
63,64,0,good,31,quickshift,blend_3,100,100,False,30000,5000,3,0.34572988996025283,lm_p_maxloss,22.693807002980183,0.9863649201480029,2.0059313904633087,1.8719095,1.8719095166352615,1.8719095,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005344130680896342,0.27571392,22.913536,0.0,0.0,0.0,0.0,0.0
64,65,0,good,32,quickshift,blend_2,100,100,False,30000,5000,3,0.28793897941405666,lm_p_maxloss,17.856131051966813,0.9958504292809338,1.7524260977667008,2.009191,2.009191130772968,2.009191,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003438118403816285,0.31223735,17.992064,0.0,0.0,0.0,0.0,0.0
65,66,0,good,32,quickshift,blend_3,100,100,False,30000,5000,3,0.303537745862365,lm_p_maxloss,17.827795608315366,0.9955244972686249,1.8532884508252645,2.3221161,2.322116029791572,2.3221161,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003438118403816285,0.31223735,17.992064,0.0,0.0,0.0,0.0,0.0
66,67,0,good,33,quickshift,blend_2,100,100,False,30000,5000,3,0.31731142246095295,lm_p_maxloss,23.478128733633334,0.9941251871842727,1.4832230079132998,1.4011272,1.4011271695714014,1.4011272,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003394020558819951,0.3039075,23.386417,0.0,0.0,0.0,0.0,0.0
67,68,0,good,33,quickshift,blend_3,100,100,False,30000,5000,3,0.3451693391390236,lm_p_maxloss,23.49820810466491,0.995911373404444,1.6025973873310724,1.7323835,1.7323835105760155,1.7323835,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003394020558819951,0.3039075,23.386417,0.0,0.0,0.0,0.0,0.0
68,69,0,good,34,quickshift,blend_2,100,100,False,30000,5000,3,0.36233486460122133,lm_p_maxloss,31.28658691382287,0.9961112288511772,1.4217189586664687,1.6289308,1.6289307660740207,1.6289308,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004207866858147706,0.4063053,31.140026,0.0,0.0,0.0,0.0,0.0
69,70,0,good,34,quickshift,blend_3,100,100,False,30000,5000,3,0.4013603561045477,lm_p_maxloss,31.305584353189396,0.9971228713524293,1.5719802793182596,2.338085,2.3380849148867795,2.338085,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004207866858147706,0.4063053,31.140026,0.0,0.0,0.0,0.0,0.0
70,71,0,good,35,quickshift,blend_2,100,100,False,30000,5000,3,0.2284072241538529,lm_p_maxloss,20.188803376856143,0.9899361782204357,1.223042812647848,0.9421287,0.9421287228249674,0.9421287,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003046645416664736,0.28602204,20.405617,0.0,0.0,0.0,0.0,0.0
71,72,0,good,35,quickshift,blend_3,100,100,False,30000,5000,3,0.23487183876425008,lm_p_maxloss,20.24332725001461,0.9877769969785581,1.2512952249660374,1.1148386,1.1148386374686918,1.1148386,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003046645416664736,0.28602204,20.405617,0.0,0.0,0.0,0.0,0.0
72,73,0,good,36,quickshift,blend_2,100,100,False,30000,5000,3,0.2393891315650274,lm_p_maxloss,17.483267015830613,0.978544097190519,1.7017839553877703,0.8926227,0.8926227132839899,0.8926227,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0030693147079243013,0.35161853,17.30017,0.0,0.0,0.0,0.0,0.0
73,74,0,good,36,quickshift,blend_3,100,100,False,30000,5000,3,0.26082962325786363,lm_p_maxloss,17.44290960161478,0.9790070571235976,1.8591604907098886,1.4334457,1.4334456488521325,1.4334457,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0030693147079243013,0.35161853,17.30017,0.0,0.0,0.0,0.0,0.0
74,75,0,good,37,quickshift,blend_2,100,100,False,30000,5000,3,0.28247476994297804,lm_p_maxloss,21.437161882680677,0.9957859582669946,1.4219207013695618,1.6627095,1.6627094820755068,1.6627095,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0027361082150794878,0.25116295,21.64001,0.0,0.0,0.0,0.0,0.0
75,76,0,good,37,quickshift,blend_3,100,100,False,30000,5000,3,0.30359971892741094,lm_p_maxloss,21.414821488233073,0.9961778421671875,1.5283320926556874,1.6778278,1.6778277973129159,1.6778278,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0027361082150794878,0.25116295,21.64001,0.0,0.0,0.0,0.0,0.0
